NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TOPG
Giannis Antetokounmpo,MIL,F,25.19,48,30.9,500,0.614,730,0.625,233,0.313,30,13.5,5.8,1.1,1.06,3.67
James Harden,HOU,G,30.47,51,37.1,612,0.869,529,0.535,654,0.358,35.3,6.5,7.3,1.63,0.96,4.43
Dwight Howard,LAL,C-F,34.18,53,19.8,156,0.468,224,0.741,5,0.6,7.8,7.8,0.7,0.43,1.3,1.25
LeBron James,LAL,F,35.12,51,34.9,275,0.687,682,0.556,316,0.345,25,7.8,10.8,1.29,0.43,4.04
Chris Paul,OKC,G,34.78,54,31.8,216,0.898,436,0.553,243,0.362,17.4,5.1,6.7,1.57,0.15,2.09
Kemba Walker,BOS,G,29.77,46,32.2,209,0.866,371,0.474,402,0.388,21.8,4.1,5,0.98,0.54,2.11
